Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,USG%,_key,Salary_Millions,Expected_PER,Efficiency_Surplus,Surplus_Rank,PER_Rank,Salary_Rank,PVI,Salary_Tier,Value_Label,Player_display
169,Grayson Allen,29,PHX,SG,64,7,24.1,3.4,7.6,0.448,2.3,5.5,0.426,1.1,2.2,0.504,0.6,1.5,1.8,0.816,0.5,2.5,3.0,2.1,0.8,0.3,1.2,1.5,10.6,13.7,17.6,grayson allen,15.625,15.261607959540768,-1.56,131,118,80,2.0032,Star (15-25M),Overpaid,Grayson Allen
170,Keon Johnson,22,BRK,SG,79,56,24.4,3.8,9.9,0.389,1.6,5.1,0.314,2.2,4.8,0.468,0.47,1.4,1.8,0.77,0.8,3.0,3.8,2.2,1.0,0.4,1.5,2.6,10.6,10.4,21.7,keon johnson,2.162606,13.03847957011534,-2.64,162,180,181,14.843203061491554,Minimum/Vet (<5M),Overpaid,Keon Johnson
171,Terry Rozier,30,MIA,PG,64,23,25.9,3.9,9.9,0.391,1.4,4.8,0.295,2.5,5.1,0.48,0.462,1.4,1.7,0.852,0.7,3.0,3.7,2.6,0.6,0.2,1.2,1.1,10.6,10.5,20.4,terry rozier,24.924126,16.82427688230111,-6.32,192,177,52,1.239762629991519,Star (15-25M),WAY Overpaid,Terry Rozier
174,Ochai Agbaji,24,TOR,SG,64,45,27.2,4.2,8.3,0.498,1.6,4.0,0.399,2.6,4.4,0.587,0.593,0.5,0.8,0.708,1.0,2.8,3.8,1.5,0.9,0.5,0.8,2.0,10.4,12.0,14.6,ochai agbaji,4.31028,13.39003310488257,-1.39,130,156,155,6.171292816243957,Minimum/Vet (<5M),Fair Value,Ochai Agbaji
175,Jaylen Wells,21,MEM,SG,79,74,25.9,3.6,8.6,0.425,1.7,5.0,0.352,1.9,3.6,0.525,0.527,1.4,1.7,0.822,1.1,2.3,3.4,1.7,0.6,0.1,0.9,1.8,10.4,10.5,15.9,jaylen wells,1.157153,12.874301715975792,-2.37,151,177,198,22.81461483485762,Minimum/Vet (<5M),Overpaid,Jaylen Wells
178,Jose Alvarado,26,NOP,PG,56,23,24.4,3.6,9.3,0.392,2.0,5.5,0.359,1.7,3.8,0.439,0.498,1.1,1.3,0.811,0.5,1.9,2.4,4.6,1.3,0.3,1.5,1.6,10.3,13.4,19.8,jose alvarado,1.988598,13.010047760592226,0.39,80,129,193,16.69517921671449,Minimum/Vet (<5M),Fair Value,Jose Alvarado
179,Nic Claxton,25,BRK,C,70,62,26.9,4.6,8.1,0.563,0.1,0.3,0.238,4.5,7.8,0.576,0.568,1.1,2.2,0.513,2.2,5.1,7.4,2.2,0.9,1.4,1.2,2.1,10.3,16.5,16.8,nic claxton,27.556817,17.27070067958517,-0.77,114,75,44,1.2084124229587183,Superstar (>=25M),Fair Value,Nic Claxton
182,Isaiah Joe,25,OKC,SG,74,16,21.7,3.5,7.9,0.44,2.6,6.3,0.412,0.9,1.6,0.549,0.604,0.6,0.8,0.821,0.6,2.1,2.6,1.6,0.6,0.1,0.5,1.5,10.2,14.0,17.2,isaiah joe,12.99165,14.823102655833972,-0.82,115,114,89,2.401542529239935,Role Player (5-15M),Fair Value,Isaiah Joe
183,Tyus Jones,28,PHX,PG,81,58,26.8,3.8,8.4,0.448,2.0,5.0,0.414,1.7,3.5,0.496,0.57,0.6,0.7,0.895,0.5,1.9,2.4,5.3,0.9,0.1,1.1,0.8,10.2,14.5,16.2,tyus jones,2.087519,13.026209878851377,1.47,58,105,186,14.70645297120649,Minimum/Vet (<5M),Fair Value,Tyus Jones
184,Trendon Watford,24,BRK,PF,44,6,20.8,3.7,8.0,0.469,0.7,2.0,0.33,3.1,6.0,0.515,0.51,2.1,2.8,0.762,0.8,2.8,3.6,2.6,0.6,0.3,1.9,2.2,10.2,13.0,23.3,trendon watford,2.726603,13.13068630935075,-0.13,93,133,173,13.313269295163249,Minimum/Vet (<5M),Fair Value,Trendon Watford
186,Luguentz Dort,25,OKC,SF,71,71,29.2,3.6,8.4,0.435,2.4,5.8,0.412,1.2,2.5,0.489,0.578,0.5,0.6,0.717,1.3,2.9,4.1,1.6,1.1,0.5,0.7,2.9,10.1,11.3,13.6,luguentz dort,16.5,15.407705181084792,-4.11,180,166,77,1.509090909090909,Star (15-25M),WAY Overpaid,Luguentz Dort
188,Derrick Jones Jr.,27,LAC,SF,77,55,24.3,4.0,7.6,0.526,1.0,2.8,0.356,3.0,4.8,0.627,0.593,1.1,1.5,0.703,1.2,2.2,3.4,0.8,1.0,0.4,0.9,2.0,10.1,13.5,16.5,derrick jones jr,9.52381,14.248341736841885,-0.75,112,125,111,3.149999842500008,Role Player (5-15M),Fair Value,Derrick Jones Jr.
189,Ausar Thompson,22,DET,SF,59,48,22.5,4.2,7.8,0.535,0.2,0.8,0.224,4.0,7.0,0.572,0.547,1.5,2.4,0.641,1.9,3.3,5.1,2.3,1.7,0.7,1.4,2.8,10.1,17.2,19.1,ausar thompson,8.376,14.058780315092509,3.14,35,69,121,4.333810888252149,Role Player (5-15M),Undervalued,Ausar Thompson
191,Andrew Nembhard,25,IND,SG,65,65,28.9,3.8,8.3,0.458,0.8,2.7,0.291,3.0,5.6,0.538,0.506,1.7,2.1,0.794,0.5,2.8,3.3,5.0,1.2,0.2,1.7,2.3,10.0,11.7,16.3,andrew nembhard,2.019699,13.015128899865209,-1.32,127,161,192,13.863451930213362,Minimum/Vet (<5M),Fair Value,Andrew Nembhard
192,Ziaire Williams,23,BRK,SF,63,45,24.5,3.4,8.3,0.412,1.6,4.8,0.341,1.8,3.5,0.509,0.511,1.6,2.0,0.821,1.0,3.6,4.6,1.3,1.0,0.4,1.1,2.4,10.0,11.9,18.2,ziaire williams,6.133005,13.689320375110304,-1.79,140,158,133,4.907871426812794,Role Player (5-15M),Overpaid,Ziaire Williams
195,Julian Champagnie,23,SAS,SF,82,29,23.6,3.4,8.1,0.415,2.2,5.9,0.371,1.2,2.3,0.53,0.549,1.0,1.1,0.904,0.8,3.1,3.9,1.4,0.7,0.4,0.9,1.4,9.9,12.2,17.2,julian champagnie,3.0,13.175412691624214,-0.98,119,154,169,9.799999999999999,Minimum/Vet (<5M),Fair Value,Julian Champagnie
196,Scotty Pippen Jr.,24,MEM,PG,79,21,21.3,3.6,7.5,0.48,1.1,2.8,0.397,2.5,4.7,0.528,0.553,1.5,2.2,0.713,0.8,2.5,3.3,4.4,1.3,0.4,1.7,2.6,9.9,15.8,19.3,scotty pippen jr,2.087519,13.026209878851377,2.77,38,83,186,16.814218217894066,Minimum/Vet (<5M),Undervalued,Scotty Pippen Jr.
197,Nick Smith Jr.,20,CHO,SG,60,27,22.8,3.7,9.5,0.391,1.7,5.1,0.34,2.0,4.4,0.45,0.482,0.7,0.8,0.935,0.2,1.9,2.1,2.4,0.3,0.1,1.4,1.3,9.9,8.3,20.8,nick smith jr,2.5872,13.107888028850851,-4.81,187,196,174,11.247680890538033,Minimum/Vet (<5M),WAY Overpaid,Nick Smith Jr.
198,Bub Carrington,19,WAS,PG,82,57,30.0,3.7,9.1,0.401,1.7,5.0,0.339,2.0,4.2,0.475,0.493,0.8,1.0,0.812,0.4,3.8,4.2,4.4,0.7,0.3,1.7,2.3,9.8,9.0,15.8,bub carrington,4.45488,13.41374508639007,-4.41,185,193,153,5.566928851057717,Minimum/Vet (<5M),WAY Overpaid,Bub Carrington
199,Moses Moody,22,GSW,SG,74,34,22.3,3.3,7.7,0.433,1.7,4.6,0.374,1.6,3.1,0.519,0.544,1.4,1.8,0.797,0.7,1.9,2.6,1.3,0.8,0.4,0.7,1.6,9.8,12.4,17.4,moses moody,5.803269,13.635115572810905,-1.24,124,150,137,5.135036821488026,Role Player (5-15M),Fair Value,Moses Moody
200,Amir Coffey,27,LAC,SG,72,13,24.3,3.3,7.1,0.471,1.4,3.4,0.409,1.9,3.7,0.529,0.57,1.6,1.8,0.891,0.4,1.8,2.2,1.1,0.6,0.1,0.6,1.7,9.7,11.2,15.3,amir coffey,3.938271,13.3290544085291,-2.13,147,168,160,6.728841158975602,Minimum/Vet (<5M),Overpaid,Amir Coffey
202,Kyle Filipowski,21,UTA,C,72,27,21.1,3.6,7.2,0.502,1.1,3.1,0.35,2.5,4.1,0.614,0.576,1.3,2.0,0.65,1.6,4.6,6.1,1.9,0.7,0.3,1.4,2.4,9.6,14.9,18.7,kyle filipowski,3.0,13.175412691624214,1.72,53,98,169,11.200000000000001,Minimum/Vet (<5M),Undervalued,Kyle Filipowski
204,Miles McBride,24,NYK,PG,64,10,24.9,3.5,8.5,0.406,1.8,4.9,0.369,1.7,3.7,0.455,0.511,0.8,1.0,0.813,0.7,1.8,2.5,2.9,1.0,0.3,0.6,1.7,9.5,12.6,16.8,miles mcbride,4.710144,13.455617155870199,-0.86,116,144,150,6.241847383009946,Minimum/Vet (<5M),Fair Value,Miles McBride
205,Jalen Wilson,24,BRK,PF,79,22,25.7,3.1,7.8,0.397,1.5,4.6,0.337,1.6,3.3,0.481,0.495,1.7,2.1,0.818,0.9,2.5,3.4,1.8,0.5,0.1,1.0,2.1,9.5,9.5,16.6,jalen wilson,1.891857,12.994244238400244,-3.49,172,189,194,13.795968722794589,Minimum/Vet (<5M),Overpaid,Jalen Wilson
206,Nickeil Alexander-Walker,26,MIN,SG,82,10,25.3,3.3,7.5,0.438,1.7,4.5,0.381,1.6,3.0,0.524,0.553,1.1,1.4,0.78,0.7,2.6,3.2,2.7,0.6,0.4,1.2,1.7,9.4,11.6,16.0,nickeil alexander-walker,4.3125,13.390397107362235,-1.79,140,163,154,6.4,Minimum/Vet (<5M),Overpaid,Nickeil Alexander-Walker
208,Anthony Black,21,ORL,PG,78,10,24.2,3.4,7.9,0.423,0.8,2.5,0.318,2.6,5.4,0.471,0.473,1.9,2.5,0.761,0.7,2.3,2.9,3.1,1.1,0.6,1.8,2.1,9.4,11.6,19.6,anthony black,7.60776,13.932093171412884,-2.33,150,163,125,4.101075743714313,Role Player (5-15M),Overpaid,Anthony Black
209,Max Strus,28,CLE,SF,50,37,25.5,3.3,7.5,0.442,2.3,5.9,0.386,1.0,1.6,0.65,0.594,0.6,0.7,0.824,1.1,3.3,4.3,3.2,0.5,0.2,1.1,2.1,9.4,12.6,14.7,max strus,15.212068,15.192729383163895,-2.59,160,144,83,1.7946277915665376,Star (15-25M),Overpaid,Max Strus
213,Kel'el Ware,20,MIA,C,64,36,22.2,4.0,7.3,0.554,0.5,1.7,0.315,3.5,5.5,0.629,0.592,0.7,1.0,0.687,1.8,5.6,7.4,0.9,0.6,1.1,0.9,1.7,9.3,17.4,17.2,kel'el ware,4.2318,13.377165934620566,4.02,26,67,156,8.176189801030294,Minimum/Vet (<5M),STEAL,Kel'el Ware
214,Zach Edey,22,MEM,C,66,55,21.5,3.8,6.6,0.58,0.3,0.8,0.346,3.5,5.8,0.612,0.6,1.4,1.9,0.709,3.5,4.8,8.3,1.0,0.5,1.3,1.3,2.8,9.2,18.2,16.4,zach edey,5.75688,13.627491984823305,4.57,21,50,138,6.010199969427884,Role Player (5-15M),STEAL,Zach Edey
215,Wendell Carter Jr.,25,ORL,C,68,51,25.9,3.3,7.2,0.46,0.5,2.3,0.234,2.8,4.9,0.568,0.498,1.9,2.6,0.737,2.2,5.0,7.2,2.0,0.8,0.6,1.1,2.9,9.1,13.7,16.0,wendell carter jr,11.95,14.6501363120666,-0.95,118,118,98,2.485355648535565,Role Player (5-15M),Fair Value,Wendell Carter Jr.
216,Noah Clowney,20,BRK,PF,46,20,22.7,2.9,8.1,0.358,1.9,5.7,0.333,1.0,2.4,0.414,0.474,1.5,1.7,0.838,0.9,3.0,3.9,0.9,0.5,0.5,1.0,2.3,9.1,9.2,19.0,noah clowney,3.24408,13.215359098944642,-4.02,178,191,166,8.692757268624694,Minimum/Vet (<5M),WAY Overpaid,Noah Clowney
220,Yves Missi,20,NOP,C,73,67,26.8,3.7,6.7,0.547,0.0,0.0,0.0,3.7,6.7,0.548,0.547,1.7,2.8,0.623,3.5,4.7,8.2,1.4,0.5,1.3,1.1,2.0,9.1,15.4,14.3,yves missi,3.1932,13.207030764815194,2.19,45,92,167,9.301014656144307,Minimum/Vet (<5M),Undervalued,Yves Missi
221,Royce O'Neale,31,PHX,SF,75,22,24.5,3.2,7.6,0.423,2.4,5.9,0.406,0.8,1.7,0.481,0.58,0.3,0.3,0.731,0.7,3.9,4.7,2.2,0.9,0.5,0.9,2.0,9.1,12.6,15.5,royce o'neale,9.375,14.223746691223951,-1.62,132,144,113,2.9973333333333336,Role Player (5-15M),Overpaid,Royce O'Neale
224,Draymond Green,34,GSW,PF,68,66,29.2,3.2,7.5,0.424,1.2,3.6,0.325,2.0,3.9,0.517,0.503,1.5,2.2,0.687,1.1,5.0,6.1,5.6,1.5,1.0,2.6,3.2,9.0,12.4,15.9,draymond green,24.107143,16.68610170893988,-4.29,183,150,53,1.1739259189693279,Star (15-25M),WAY Overpaid,Draymond Green
226,Al Horford,38,BOS,C,60,42,27.7,3.3,7.7,0.423,1.9,5.2,0.363,1.4,2.5,0.551,0.547,0.6,0.6,0.895,1.3,4.8,6.2,2.1,0.6,0.9,0.8,1.4,9.0,12.9,13.8,al horford,9.5,14.2444060831191,-1.34,129,135,112,2.810526315789474,Role Player (5-15M),Fair Value,Al Horford
227,Julian Strawther,22,DEN,SG,65,4,21.3,3.2,7.5,0.432,1.4,4.1,0.349,1.8,3.3,0.535,0.529,1.1,1.4,0.822,0.3,1.9,2.2,1.3,0.6,0.2,0.9,2.3,9.0,9.5,17.8,julian strawther,2.55252,13.102217155013605,-3.6,174,189,176,10.695312867284096,Minimum/Vet (<5M),Overpaid,Julian Strawther
228,Patrick Williams,23,CHI,PF,63,36,25.0,3.3,8.2,0.397,1.5,4.3,0.353,1.7,3.9,0.447,0.49,1.0,1.3,0.723,0.7,3.1,3.8,2.0,0.8,0.5,1.4,1.4,9.0,9.0,16.9,patrick williams,18.0,15.658612786005788,-6.66,195,193,73,1.4388888888888889,Star (15-25M),WAY Overpaid,Patrick Williams
230,Clint Capela,30,ATL,C,55,41,21.4,4.0,7.1,0.559,0.0,0.0,0.0,4.0,7.1,0.56,0.559,0.9,1.8,0.536,3.2,5.4,8.5,1.1,0.6,1.0,0.9,1.9,8.9,17.7,16.7,clint capela,22.26528,16.375215818422312,1.32,59,58,61,1.5450063956078701,Star (15-25M),Fair Value,Clint Capela
232,Luke Kennard,28,MEM,SG,65,11,22.6,3.2,6.6,0.478,1.7,4.0,0.433,1.4,2.6,0.547,0.609,0.8,0.9,0.895,0.6,2.2,2.8,3.3,0.8,0.1,1.1,0.9,8.9,13.6,14.5,luke kennard,9.25,14.203091292531708,-0.6,108,121,114,3.037837837837838,Role Player (5-15M),Fair Value,Luke Kennard
233,Justin Champagnie,23,WAS,SF,62,31,21.6,3.4,6.6,0.511,1.2,3.1,0.383,2.2,3.5,0.624,0.601,0.8,1.2,0.685,1.8,3.9,5.7,1.0,1.0,0.6,0.9,1.8,8.8,15.7,15.6,justin champagnie,1.8,12.979240775737212,2.72,39,86,197,17.388888888888886,Minimum/Vet (<5M),Undervalued,Justin Champagnie
235,Chris Paul,39,SAS,PG,82,82,28.0,3.0,7.1,0.427,1.7,4.5,0.377,1.3,2.6,0.514,0.547,1.0,1.1,0.924,0.4,3.2,3.6,7.4,1.3,0.3,1.6,1.8,8.8,14.7,14.0,chris paul,10.46,14.403203311118531,0.3,86,102,106,2.7437858508604203,Role Player (5-15M),Fair Value,Chris Paul
237,Dorian Finney-Smith,31,LAL,PF,43,20,28.8,2.8,6.4,0.442,1.9,4.8,0.398,0.9,1.6,0.571,0.591,0.3,0.5,0.714,1.1,2.5,3.6,1.4,0.9,0.3,0.9,1.9,7.9,10.5,12.666666666666666,dorian finney-smith,14.924167,15.144732220195223,-4.64,186,177,84,1.5522921089442823,Role Player (5-15M),WAY Overpaid,Dorian Finney-Smith
239,Kentavious Caldwell-Pope,31,ORL,SG,77,77,29.6,3.1,7.1,0.439,1.5,4.3,0.342,1.6,2.8,0.589,0.543,1.1,1.2,0.863,0.4,1.8,2.2,1.8,1.3,0.4,0.8,1.8,8.7,9.9,12.4,kentavious caldwell-pope,22.757,16.45812782535221,-6.56,194,182,59,0.9799182669068858,Star (15-25M),WAY Overpaid,Kentavious Caldwell-Pope
240,Isaiah Collier,20,UTA,PG,71,46,25.9,3.3,7.8,0.422,0.6,2.4,0.249,2.7,5.4,0.497,0.459,1.5,2.2,0.682,0.5,2.9,3.3,6.3,0.9,0.2,2.9,2.1,8.7,9.7,18.9,isaiah collier,2.51268,13.095702897311538,-3.4,170,187,177,11.38226913096773,Minimum/Vet (<5M),Overpaid,Isaiah Collier
242,Kyshawn George,21,WAS,SG,68,38,26.5,3.0,8.0,0.372,1.7,5.2,0.322,1.3,2.8,0.464,0.476,1.0,1.4,0.753,0.7,3.5,4.2,2.5,1.0,0.7,1.4,3.0,8.7,8.8,15.9,kyshawn george,2.82552,13.14686643058398,-4.35,184,195,172,8.741753730286815,Minimum/Vet (<5M),WAY Overpaid,Kyshawn George
245,Tyrese Martin,25,BRK,SG,60,11,21.9,3.2,7.8,0.406,1.7,4.7,0.351,1.5,3.1,0.492,0.513,0.8,1.0,0.793,1.0,2.7,3.7,2.0,0.6,0.2,1.2,1.3,8.7,10.9,18.8,tyrese martin,0.635853,12.789281671114734,-1.89,144,171,199,46.708909134658484,Minimum/Vet (<5M),Overpaid,Tyrese Martin
247,Jaime Jaquez Jr.,23,MIA,SF,66,17,20.7,3.2,7.0,0.461,0.6,1.8,0.311,2.7,5.2,0.513,0.501,1.6,2.2,0.754,1.3,3.1,4.4,2.5,0.9,0.2,1.5,1.2,8.6,14.3,20.2,jaime jaquez jr,3.6858,13.287690200305718,1.01,64,110,162,9.360247436106137,Minimum/Vet (<5M),Fair Value,Jaime Jaquez Jr.
248,Ja'Kobe Walter,20,TOR,SG,52,18,21.2,3.1,7.6,0.405,1.3,3.6,0.349,1.8,4.0,0.454,0.487,1.3,1.6,0.795,1.1,1.9,3.1,1.6,0.8,0.2,1.0,1.8,8.6,10.8,18.2,ja'kobe walter,3.465,13.251528241431053,-2.45,153,174,165,8.36940836940837,Minimum/Vet (<5M),Overpaid,Ja'Kobe Walter
249,Sam Hauser,27,BOS,PF,71,19,21.7,3.0,6.7,0.451,2.3,5.6,0.416,0.7,1.1,0.64,0.627,0.2,0.2,1.0,0.6,2.5,3.2,0.9,0.6,0.2,0.3,1.2,8.5,12.8,14.3,sam hauser,2.092344,13.026998271084045,-0.23,95,139,185,12.951981127386318,Minimum/Vet (<5M),Fair Value,Sam Hauser
253,Cason Wallace,21,OKC,SG,68,43,27.6,3.4,7.2,0.474,1.1,3.1,0.356,2.3,4.1,0.562,0.55,0.4,0.5,0.811,1.0,2.3,3.4,2.5,1.8,0.5,0.9,2.1,8.4,12.3,12.8,cason wallace,5.55588,13.594465913353726,-1.29,126,152,142,4.51773616420801,Role Player (5-15M),Fair Value,Cason Wallace
257,Keon Ellis,25,SAC,SG,80,28,24.4,2.8,5.8,0.489,1.7,4.0,0.433,1.1,1.8,0.615,0.639,0.9,1.1,0.849,0.8,1.9,2.7,1.5,1.5,0.8,0.9,2.2,8.3,13.5,12.7,keon ellis,2.120693,13.031630542843352,0.47,78,125,183,12.354452058831711,Minimum/Vet (<5M),Fair Value,Keon Ellis
259,Mike Conley,37,MIN,PG,71,64,24.7,2.6,6.6,0.4,1.8,4.4,0.41,0.8,2.2,0.38,0.535,1.1,1.3,0.9,0.5,2.1,2.6,4.5,1.1,0.2,1.1,1.6,8.2,13.3,14.4,mike conley,9.975962,14.32310731727571,-1.02,120,131,109,2.7766745703321645,Role Player (5-15M),Fair Value,Mike Conley
260,Taurean Prince,30,MIL,SF,80,73,27.1,2.9,6.4,0.457,1.8,4.2,0.439,1.1,2.2,0.492,0.6,0.5,0.6,0.813,0.4,3.2,3.6,1.9,1.0,0.2,1.0,2.1,8.2,9.8,12.5,taurean prince,2.087519,13.026209878851377,-3.23,167,185,186,10.682537500257483,Minimum/Vet (<5M),Overpaid,Taurean Prince
263,Peyton Watson,22,DEN,SF,68,18,24.4,3.0,6.3,0.477,0.7,2.0,0.353,2.3,4.3,0.534,0.533,1.4,2.0,0.693,0.7,2.7,3.4,1.4,0.7,1.4,0.8,1.8,8.1,11.4,13.9,peyton watson,2.41356,13.07949749812859,-1.68,135,165,179,10.482440875718856,Minimum/Vet (<5M),Overpaid,Peyton Watson
276,A.J. Green,25,MIL,SG,73,7,22.7,2.5,5.8,0.429,2.1,5.0,0.427,0.4,0.8,0.443,0.612,0.3,0.4,0.815,0.2,2.1,2.4,1.5,0.5,0.1,0.5,2.2,7.4,9.2,12.6,aj green,2.120693,13.031630542843352,-3.83,176,191,183,10.27965858330272,Minimum/Vet (<5M),Overpaid,A.J. Green
277,Josh Green,24,CHO,SG,68,67,27.8,2.6,6.2,0.428,1.4,3.6,0.391,1.2,2.5,0.48,0.543,0.7,1.1,0.681,0.8,1.7,2.5,1.6,1.1,0.2,1.0,2.4,7.4,7.8,11.8,josh green,12.654321,14.767058698816792,-6.97,197,198,92,1.5488780472693875,Role Player (5-15M),WAY Overpaid,Josh Green
284,Goga Bitadze,25,ORL,C,70,42,20.4,3.0,4.8,0.611,0.0,0.4,0.107,2.9,4.4,0.656,0.615,1.2,1.9,0.639,2.4,4.2,6.6,2.0,0.7,1.4,1.0,2.1,7.2,19.2,14.3,goga bitadze,9.057971,14.171367587327884,5.03,18,39,117,3.69840000591744,Role Player (5-15M),STEAL,Goga Bitadze
285,Tristan Da Silva,23,ORL,SF,74,38,22.0,2.7,6.5,0.412,1.1,3.2,0.335,1.6,3.3,0.488,0.495,0.7,0.9,0.873,1.0,2.3,3.3,1.5,0.4,0.2,0.8,1.3,7.2,9.9,15.2,tristan da silva,3.62844,13.278294754343268,-3.38,168,182,163,6.917573392422089,Minimum/Vet (<5M),Overpaid,Tristan Da Silva
287,Vit Krejci,24,ATL,PG,57,16,20.2,2.5,5.1,0.497,1.6,3.6,0.437,1.0,1.5,0.64,0.651,0.6,0.8,0.711,0.4,2.4,2.7,2.6,0.6,0.5,0.9,1.8,7.2,12.7,12.9,vit krejci,2.162606,13.03847957011534,-0.34,98,142,181,11.837570042809464,Minimum/Vet (<5M),Fair Value,Vit Krejci
311,DaQuan Jeffries,27,CHO,SG,47,20,22.8,2.5,6.2,0.405,1.2,3.5,0.335,1.3,2.7,0.496,0.5,0.5,0.6,0.8,0.8,2.1,2.9,1.1,0.6,0.5,0.7,2.1,6.7,7.9,13.5,daquan jeffries,2.425404,13.081433773908689,-5.18,188,197,178,8.82327232906353,Minimum/Vet (<5M),WAY Overpaid,DaQuan Jeffries
314,Precious Achiuwa,25,NYK,C,57,10,20.5,2.9,5.7,0.502,0.2,0.6,0.278,2.7,5.1,0.529,0.517,0.7,1.2,0.594,1.8,3.8,5.6,1.0,0.8,0.7,0.8,1.4,6.6,13.6,14.9,precious achiuwa,6.0,13.667452540753258,-0.07,91,121,135,4.75,Role Player (5-15M),Fair Value,Precious Achiuwa
321,Haywood Highsmith,28,MIA,SF,74,42,24.6,2.4,5.3,0.458,1.2,3.1,0.382,1.2,2.1,0.57,0.572,0.4,0.6,0.721,1.0,2.4,3.4,1.5,0.9,0.5,0.7,2.2,6.5,9.9,11.3,haywood highsmith,5.2,13.536017017131202,-3.64,175,182,145,4.0769230769230775,Role Player (5-15M),Overpaid,Haywood Highsmith
327,Kris Dunn,30,LAC,PG,74,58,24.1,2.6,5.9,0.439,1.0,3.0,0.335,1.6,2.9,0.549,0.525,0.2,0.3,0.682,0.7,2.7,3.4,2.8,1.7,0.4,1.0,2.7,6.4,11.3,12.7,kris dunn,5.168,13.530762998267413,-2.23,149,166,146,4.643962848297213,Role Player (5-15M),Overpaid,Kris Dunn
330,Gabe Vincent,28,LAL,PG,72,11,21.2,2.3,5.8,0.4,1.5,4.3,0.353,0.8,1.5,0.532,0.53,0.2,0.3,0.714,0.3,1.0,1.3,1.4,0.7,0.2,0.6,2.1,6.4,7.4,13.5,gabe vincent,11.0,14.492630255687523,-7.09,198,199,103,1.9,Role Player (5-15M),WAY Overpaid,Gabe Vincent
335,Jonathan Mogbo,23,TOR,PF,63,18,20.4,2.5,5.7,0.438,0.3,1.1,0.243,2.2,4.5,0.486,0.462,1.0,1.3,0.732,1.7,3.2,4.9,2.3,0.9,0.5,1.1,2.2,6.2,11.9,15.0,jonathan mogbo,1.862265,12.989410593774299,-1.09,123,158,196,14.444775582422478,Minimum/Vet (<5M),Fair Value,Jonathan Mogbo
366,Dean Wade,28,CLE,PF,59,30,21.2,1.9,4.6,0.413,1.4,3.8,0.36,0.5,0.8,0.653,0.561,0.3,0.5,0.533,0.9,3.4,4.2,1.3,0.7,0.3,0.4,1.7,5.4,10.1,10.4,dean wade,6.166667,13.694855583500354,-3.59,173,181,132,3.3243241446311274,Role Player (5-15M),Overpaid,Dean Wade
375,Javonte Green,31,NOP,SG,50,18,21.8,2.0,4.5,0.446,0.8,2.2,0.352,1.2,2.3,0.534,0.531,1.0,1.3,0.758,1.0,2.6,3.6,0.9,1.1,0.6,0.6,1.5,5.8,10.566666666666666,13.633333333333333,javonte green,2.32835,13.06556828983868,-2.5,156,176,180,10.393626387785341,Minimum/Vet (<5M),Overpaid,Javonte Green
394,Cody Williams,20,UTA,SG,50,21,21.2,1.7,5.1,0.323,0.7,2.7,0.259,1.0,2.4,0.393,0.391,0.6,0.8,0.725,0.5,1.7,2.3,1.2,0.5,0.3,0.9,1.9,4.6,3.7,12.5,cody williams,5.46912,13.580213670938505,-9.88,200,200,143,2.9620853080568716,Role Player (5-15M),WAY Overpaid,Cody Williams
